https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1686096000000,2023-06-07 00:00:00,FIL/USD,4.3914,4.3914,4.0559,4.1246,6628.92239,27341.653289793998
1686009600000,2023-06-06 00:00:00,FIL/USD,4.2444,4.9252,4.1414,4.3914,33381.935525,146593.431664485
1685923200000,2023-06-05 00:00:00,FIL/USD,4.6705,4.6705,4.0442,4.2444,7551.559253,32051.838093433198
1685836800000,2023-06-04 00:00:00,FIL/USD,4.9026,4.9026,4.6377,4.6705,6886.443092,32163.132461186
1685750400000,2023-06-03 00:00:00,FIL/USD,4.9891,4.9966,4.891,4.9026,847.81441,4156.494926465999
1685664000000,2023-06-02 00:00:00,FIL/USD,4.701,5.0174,4.6892,4.9891,6887.842968,34364.137351648795
1685577600000,2023-06-01 00:00:00,FIL/USD,4.6973,4.766,4.6256,4.701,2296.878432,10797.625508832
1685491200000,2023-05-31 00:00:00,FIL/USD,4.8421,4.876,4.6463,4.6973,3492.694077,16406.2318878921
1685404800000,2023-05-30 00:00:00,FIL/USD,4.6474,4.903,4.5916,4.8421,7079.749778,34280.8564000538
1685318400000,2023-05-29 00:00:00,FIL/USD,4.6807,4.7394,4.6188,4.6474,1925.989656,8950.8443272944
1685232000000,2023-05-28 00:00:00,FIL/USD,4.4939,4.7064,4.4939,4.6807,2636.133311,12338.9491887977
1685145600000,2023-05-27 00:00:00,FIL/USD,4.4493,4.5185,4.4413,4.4939,880.933119,3958.8253434741
1685059200000,2023-05-26 00:00:00,FIL/USD,4.4245,4.6765,4.384,4.4493,8087.140085,35982.1123801905
1684972800000,2023-05-25 00:00:00,FIL/USD,4.4752,4.4752,4.3705,4.4245,3663.677947,16209.9430765015
1684886400000,2023-05-24 00:00:00,FIL/USD,4.514,4.526,4.3638,4.4752,4237.40428,18963.231633855998
1684800000000,2023-05-23 00:00:00,FIL/USD,4.4022,4.523,4.4007,4.514,3822.823471,17256.225148094003
1684713600000,2023-05-22 00:00:00,FIL/USD,4.3689,4.4321,4.3152,4.4022,1548.699417,6817.684573517399
1684627200000,2023-05-21 00:00:00,FIL/USD,4.5016,4.514,4.3334,4.3689,7118.781126,31101.2428613814
1684540800000,2023-05-20 00:00:00,FIL/USD,4.4864,4.5276,4.46,4.5016,6096.964925,27446.09730638
1684454400000,2023-05-19 00:00:00,FIL/USD,4.4501,4.5135,4.4233,4.4864,3333.285779,14954.453318905598
1684368000000,2023-05-18 00:00:00,FIL/USD,4.5252,4.6333,4.3983,4.4501,13476.161241,59970.2651385741
1684281600000,2023-05-17 00:00:00,FIL/USD,4.6168,4.62,4.3366,4.5252,29396.140589,133023.4153933428
1684195200000,2023-05-16 00:00:00,FIL/USD,4.4664,4.62,4.365,4.6168,6492.530988,29974.7170653984
1684108800000,2023-05-15 00:00:00,FIL/USD,4.4587,4.5421,4.3938,4.4664,6087.808461,27190.5877102104
1684022400000,2023-05-14 00:00:00,FIL/USD,4.3969,4.4849,4.3518,4.4587,1659.70118,7400.109651266001
1683936000000,2023-05-13 00:00:00,FIL/USD,4.4566,4.4566,4.3393,4.3969,5508.412457,24219.9387321833
1683849600000,2023-05-12 00:00:00,FIL/USD,4.348,4.4643,4.2389,4.4566,10896.807883,48562.71401137779
1683763200000,2023-05-11 00:00:00,FIL/USD,4.6085,4.6085,4.2299,4.348,9547.824997,41513.943086955995
1683676800000,2023-05-10 00:00:00,FIL/USD,4.5655,4.7362,4.4737,4.6085,8614.785924,39701.240930754
1683590400000,2023-05-09 00:00:00,FIL/USD,4.5471,4.5988,4.5,4.5655,7236.553912,33038.486885236
1683504000000,2023-05-08 00:00:00,FIL/USD,5.0981,5.0981,4.4081,4.5471,22467.333699,102161.2130627229
1683417600000,2023-05-07 00:00:00,FIL/USD,5.0711,5.1398,5.0564,5.0981,4823.333959,24589.838856377897
1683331200000,2023-05-06 00:00:00,FIL/USD,5.2565,5.2783,5.0296,5.0711,4746.838953,24071.695014558303
1683244800000,2023-05-05 00:00:00,FIL/USD,5.2622,5.3104,5.1325,5.2565,10112.832931,53158.106301801505
1683158400000,2023-05-04 00:00:00,FIL/USD,5.3504,5.3578,5.2208,5.2622,3139.626707,16521.3436575754
1683072000000,2023-05-03 00:00:00,FIL/USD,5.2878,5.3886,5.1953,5.3504,6273.603308,33566.2871391232
1682985600000,2023-05-02 00:00:00,FIL/USD,5.2935,5.3154,5.2203,5.2878,4489.906161,23741.725798135798
1682899200000,2023-05-01 00:00:00,FIL/USD,5.4718,5.4756,5.1946,5.2935,5359.423983,28370.110854010498
1682812800000,2023-04-30 00:00:00,FIL/USD,5.6022,5.6158,5.4358,5.4718,2862.674797,15663.9839542246
1682726400000,2023-04-29 00:00:00,FIL/USD,5.539,5.691,5.477,5.6022,4818.665808,26995.1295895776
1682640000000,2023-04-28 00:00:00,FIL/USD,5.379,5.5505,5.2779,5.539,13115.405464,72646.23086509599
1682553600000,2023-04-27 00:00:00,FIL/USD,5.2433,5.4922,5.1837,5.379,5911.275308,31796.749881731997
1682467200000,2023-04-26 00:00:00,FIL/USD,5.3472,5.5596,5.0584,5.2433,6234.630267,32690.036878961095
1682380800000,2023-04-25 00:00:00,FIL/USD,5.236,5.3759,5.1624,5.3472,7397.96265,39558.38588208
1682294400000,2023-04-24 00:00:00,FIL/USD,5.2958,5.3395,5.17,5.236,3745.327183,19610.533130188
1682208000000,2023-04-23 00:00:00,FIL/USD,5.3473,5.3596,5.1674,5.2958,2436.252238,12901.9046020004
