Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1562371200.0,2019-07-06,BTCUSD,11038.5,11682.57,11038.5,11393.61,2.685,30785.69
1562284800.0,2019-07-05,BTCUSD,11130,12890,10820.4,11038.5,5.223,59215.48
1562198400.0,2019-07-04,BTCUSD,11800,11979.99,10801,11130,24.13,280769.18
1562112000.0,2019-07-03,BTCUSD,10800,11800,10800,11800,8.918,100961.5
1562025600.0,2019-07-02,BTCUSD,10505.56,10940.52,9732.65,10800,12.71,133799.74
1561939200.0,2019-07-01,BTCUSD,10914,11116.9,10000,10505.56,47.44,502709.26
1561852800.0,2019-06-30,BTCUSD,12117.57,12292.94,10879,10914,1.426,16060.63
1561766400.0,2019-06-29,BTCUSD,12421.96,12421.96,11503.68,12117.57,0.6886,8193.12
1561680000.0,2019-06-28,BTCUSD,11019.99,12421.96,10781.39,12421.96,30.44,357998.32
1561593600.0,2019-06-27,BTCUSD,12959,13260.34,10400,11019.99,64.98,773763.05
1561507200.0,2019-06-26,BTCUSD,11650,13928.95,11005,12959,17.56,228977.81
1561420800.0,2019-06-25,BTCUSD,10914.99,11650,10914.99,11650,21.16,238163.06
1561334400.0,2019-06-24,BTCUSD,10774.51,11139.83,10500.02,10914.99,2.358,25765.95
1561248000.0,2019-06-23,BTCUSD,10961,11345.54,10499,10774.51,3.195,34672.55
1561161600.0,2019-06-22,BTCUSD,10077,11349.99,10077,10961,4.973,53692.16
1561075200.0,2019-06-21,BTCUSD,9563.97,10077,9563.97,10077,2.013,19802.8
1560988800.0,2019-06-20,BTCUSD,9288.49,9604.5,9172.73,9563.97,7.706,72491.42
1560902400.0,2019-06-19,BTCUSD,9041.89,9355.4,9000,9288.49,7.719,70607.46
1560816000.0,2019-06-18,BTCUSD,9228.98,9268,8777.07,9041.89,5.847,53560.0
1560729600.0,2019-06-17,BTCUSD,9067.53,9340,8679.13,9228.98,6.449,59527.19
1560643200.0,2019-06-16,BTCUSD,8691.3,9200,8676.9,9067.53,24.76,223635.56
1560556800.0,2019-06-15,BTCUSD,8580,8820,8468.23,8691.3,0.4734,4125.97
1560470400.0,2019-06-14,BTCUSD,8264.7,8580,8203.22,8580,3.941,32932.71
1560384000.0,2019-06-13,BTCUSD,8150.18,8315,8110.45,8264.7,1.363,11147.94
1560297600.0,2019-06-12,BTCUSD,7927.16,8200,7861.09,8150.18,5.255,41909.04
1560211200.0,2019-06-11,BTCUSD,7961.52,7972.93,7742.6,7927.16,3.799,29938.61
1560124800.0,2019-06-10,BTCUSD,7898.09,8085.2,7557.42,7961.52,4.846,37898.1
1560038400.0,2019-06-09,BTCUSD,8034.91,8061.5,7655.26,7898.09,2.468,19735.12
1559952000.0,2019-06-08,BTCUSD,8193,8193,7710.82,8034.91,0.2025,1611.89
1559865600.0,2019-06-07,BTCUSD,7798.25,8193,7798.25,8193,6.052,48348.14
1559779200.0,2019-06-06,BTCUSD,7729.32,7908.4,7477.66,7798.25,8.664,66928.09
1559692800.0,2019-06-05,BTCUSD,7658.38,7916.88,7658.38,7729.32,2.919,22808.32
1559606400.0,2019-06-04,BTCUSD,8135.51,8722.2,7500,7658.38,9.629,74758.73
1559520000.0,2019-06-03,BTCUSD,8651.66,8706.59,8132.01,8135.51,6.157,51439.97
1559433600.0,2019-06-02,BTCUSD,8522.98,8799.99,8522.98,8651.66,0.4133,3604.1
1559347200.0,2019-06-01,BTCUSD,8722.64,8722.64,8502.61,8522.98,0.5217,4494.95
1559260800.0,2019-05-31,BTCUSD,8307.99,8799,8207.16,8722.64,8.268,69007.1
1559174400.0,2019-05-30,BTCUSD,8672.12,9048.1,8023,8307.99,14.33,122096.17
