https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1680307200000,2023-04-01 00:00:00,OP/USDT,2.4008,2.695,2.2141,2.2654,55079.594,23828.5106,27333.0351,11817.0924,10344,2.3133
1680220800000,2023-03-31 00:00:00,OP/USDT,2.3198,2.4455,2.2257,2.4008,39868.5712,17376.2984,20012.1101,8727.4194,7561,2.2947
1680134400000,2023-03-30 00:00:00,OP/USDT,2.2471,2.4451,2.2141,2.3205,34766.332,15232.8912,16935.3312,7418.9615,6353,2.2831
1680048000000,2023-03-29 00:00:00,OP/USDT,2.2139,2.282,2.1682,2.2471,7889.0564,3528.5105,4082.9284,1826.3171,1162,2.2359
1679961600000,2023-03-28 00:00:00,OP/USDT,2.161,2.7,2.0568,2.2086,19851.3667,9127.5761,10345.6565,4736.111,2144,2.1769
1679875200000,2023-03-27 00:00:00,OP/USDT,2.3753,2.4363,2.034,2.1844,8472.9695,3751.0817,4008.48,1765.9228,983,2.2624
1679788800000,2023-03-26 00:00:00,OP/USDT,2.2992,2.5077,2.212,2.3796,6421.0664,2771.6844,3306.8738,1426.6612,739,2.3182
1679702400000,2023-03-25 00:00:00,OP/USDT,2.3387,2.4714,2.2083,2.2574,4998.4554,2177.297,2726.3638,1185.3634,542,2.2966
1679616000000,2023-03-24 00:00:00,OP/USDT,2.4823,2.5049,2.1804,2.3399,8289.9736,3498.1113,3965.4445,1669.935,945,2.372
1679529600000,2023-03-23 00:00:00,OP/USDT,2.5476,2.6,2.4239,2.4939,6226.5757,2488.817,3283.1108,1309.7161,773,2.5025
1679443200000,2023-03-22 00:00:00,OP/USDT,2.6689,2.7797,2.4528,2.5184,9309.554,3572.7147,4701.6608,1803.2604,1105,2.6064
1679356800000,2023-03-21 00:00:00,OP/USDT,2.4538,2.7808,2.3881,2.6808,8240.874,3188.4071,3985.348,1538.7752,905,2.5878
1679270400000,2023-03-20 00:00:00,OP/USDT,2.7046,2.7766,2.4347,2.4996,9027.493,3491.5447,2951.5233,1137.5175,776,2.5874
1679184000000,2023-03-19 00:00:00,OP/USDT,2.633,2.8328,2.6275,2.7003,3733.4643,1373.0644,1668.314,614.3455,454,2.7198
1679097600000,2023-03-18 00:00:00,OP/USDT,2.7087,3.0052,2.5598,2.6012,5791.3343,2064.3546,2888.6069,1029.7809,726,2.8084
1679011200000,2023-03-17 00:00:00,OP/USDT,2.6317,2.766,2.4431,2.6697,3106.2451,1193.4222,1655.3592,636.2623,349,2.6045
1678924800000,2023-03-16 00:00:00,OP/USDT,2.2104,2.439,2.2104,2.2119,238.4287,102.1449,0,0,4,2.3397
