https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1610150400000,2021-01-09,ATOMUSDT,5.929,6.748,5.811,6.54,5824097.924,37304160.206403,92471
1610064000000,2021-01-08,ATOMUSDT,6.266,6.343,5.66,5.931,5120149.691,30622178.768073,83615
1609977600000,2021-01-07,ATOMUSDT,6.689,6.843,6.0,6.264,5038404.632,32799227.818839,98092
1609891200000,2021-01-06,ATOMUSDT,6.201,6.954,5.86,6.682,6774124.331,43339788.277435,107782
1609804800000,2021-01-05,ATOMUSDT,6.044,6.383,5.64,6.196,5022610.984,30410544.074837,81230
1609718400000,2021-01-04,ATOMUSDT,5.831,6.269,5.259,6.044,6927475.078,40470542.801127,108945
1609632000000,2021-01-03,ATOMUSDT,5.416,5.911,5.279,5.829,4949867.183,27686117.960932,67491
1609545600000,2021-01-02,ATOMUSDT,5.859,5.881,5.18,5.42,8825384.818,48552820.666994,91277
1609459200000,2021-01-01,ATOMUSDT,6.468,6.5,5.588,5.861,6358513.64,38204292.913948,81983
1609372800000,2020-12-31,ATOMUSDT,5.424,6.495,5.24,6.465,5306477.467,31279336.157801,84261
1609286400000,2020-12-30,ATOMUSDT,5.624,5.84,5.391,5.424,3895574.75,21765999.779232,50510
1609200000000,2020-12-29,ATOMUSDT,5.387,5.69,5.034,5.622,4829608.504,25850003.25701,61712
1609113600000,2020-12-28,ATOMUSDT,4.843,5.61,4.791,5.391,3967006.057,20764999.209148,51005
1609027200000,2020-12-27,ATOMUSDT,4.811,5.024,4.571,4.842,2404495.907,11626809.232436,33482
1608940800000,2020-12-26,ATOMUSDT,4.908,4.967,4.731,4.81,1262506.135,6127328.694801,17897
1608854400000,2020-12-25,ATOMUSDT,4.961,5.053,4.745,4.909,1364368.663,6683987.428245,23040
1608768000000,2020-12-24,ATOMUSDT,4.395,4.999,4.224,4.959,2068214.006,9579559.589811,30028
1608681600000,2020-12-23,ATOMUSDT,4.944,4.997,4.2,4.395,2614969.203,12112752.961114,38259
1608595200000,2020-12-22,ATOMUSDT,5.03,5.103,4.725,4.943,1397845.866,6890901.773485,20706
1608508800000,2020-12-21,ATOMUSDT,5.031,5.157,4.793,5.031,1325974.269,6613632.552088,21558
1608422400000,2020-12-20,ATOMUSDT,5.286,5.36,4.901,5.036,2014721.926,10389509.651216,28690
1608336000000,2020-12-19,ATOMUSDT,5.33,5.439,5.25,5.289,1617579.599,8646367.957222,19945
1608249600000,2020-12-18,ATOMUSDT,5.354,5.45,5.187,5.329,1477854.839,7877154.339661,19001
1608163200000,2020-12-17,ATOMUSDT,5.487,5.73,5.265,5.354,2726673.905,15023399.933045,39006
1608076800000,2020-12-16,ATOMUSDT,5.291,5.505,5.15,5.494,3269784.069,17642508.69969,36804
