https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1670025600000,2022-12-03 00:00:00,UNI/USDT,6.3575,6.436,6.05,6.0865,48228.896145965,7739.05727,24395.455166991,3912.4641,2664,6.232907351759750284
1669939200000,2022-12-02 00:00:00,UNI/USDT,5.8898,6.5101,5.8591,6.3576,43819.172253633,7261.89516,21849.576403274,3617.54176,2329,6.039303042593874224
1669852800000,2022-12-01 00:00:00,UNI/USDT,5.8341,5.9605,5.7485,5.9047,45366.4077612,7803.8148,22363.910643166,3847.99053,2489,5.813642568720599691
1669766400000,2022-11-30 00:00:00,UNI/USDT,5.4752,5.8534,5.4752,5.8337,45674.705163564,7951.17244,21626.980994477,3765.38232,2858,5.745038163020921161
1669680000000,2022-11-29 00:00:00,UNI/USDT,5.3098,5.5322,5.2776,5.4768,46166.858112924,8492.092,24907.936354254,4582.77645,2708,5.437276395063196275
1669593600000,2022-11-28 00:00:00,UNI/USDT,5.4079,5.4485,5.1647,5.2878,47895.14225432,9094.74306,23044.181524029,4376.8468,2827,5.266634478773891087
1669507200000,2022-11-27 00:00:00,UNI/USDT,5.4105,5.5994,5.3793,5.4112,49657.577141905,9005.1706,26083.624965241,4730.66812,2898,5.514608037586612953
1669420800000,2022-11-26 00:00:00,UNI/USDT,5.4433,5.6106,4.8901,5.4107,54883.731948697,9946.63957,28204.473575777,5109.17128,3163,5.518350071048380165
1669334400000,2022-11-25 00:00:00,UNI/USDT,5.461,5.5083,5.2988,5.4433,66406.602359638,12283.12242,33002.508744717,6103.20675,3562,5.406656593476412664
1669248000000,2022-11-24 00:00:00,UNI/USDT,5.5217,5.6053,5.3994,5.461,70251.02429568,12835.63881,35401.02250722,6467.13936,4289,5.473578455735800093
1669161600000,2022-11-23 00:00:00,UNI/USDT,5.3441,5.76,5.2706,5.521,82293.882235922,15115.79729,41761.97574522,7670.30016,4609,5.444997948044793106
1669075200000,2022-11-22 00:00:00,UNI/USDT,5.1838,5.3706,5.0002,5.3419,108099.534536046,20792.46759,53726.082988534,10336.97601,5578,5.201565487177109383
1668988800000,2022-11-21 00:00:00,UNI/USDT,5.4274,5.4774,5.085,5.189,109662.394325107,20734.48616,54442.752824794,10291.86656,5973,5.290096925321215627
1668902400000,2022-11-20 00:00:00,UNI/USDT,5.7209,5.7882,5.3918,5.4275,113202.421483086,20159.14984,56627.789310779,10084.12279,6936,5.6175478179718976
1668816000000,2022-11-19 00:00:00,UNI/USDT,5.8279,5.8287,5.6574,5.7304,133825.641828206,23279.28996,66809.830224725,11623.16782,7665,5.748915373623482011
1668729600000,2022-11-18 00:00:00,UNI/USDT,5.7125,6.0366,5.7081,5.828,68145.882918635,11592.88355,32120.77181429,5465.47403,4157,5.87891921985804485
1668643200000,2022-11-17 00:00:00,UNI/USDT,5.9375,6.0442,5.5,5.6986,151783.953505052,26045.36868,77085.322621037,13240.06238,9170,5.829530093110819153
1668556800000,2022-11-16 00:00:00,UNI/USDT,6.2719,6.416,5.8757,5.9497,176869.813237652,28994.09203,86493.531497521,14175.33622,9323,6.104338292015164343
1668470400000,2022-11-15 00:00:00,UNI/USDT,6.0645,6.4424,5.9889,6.2962,113767.835261855,18166.20359,57463.211894365,9175.38451,6276,6.26453640351786188
1668384000000,2022-11-14 00:00:00,UNI/USDT,5.8255,6.0616,5.4344,6.0616,51861.643576616,8977.67746,26207.385163326,4540.33927,4420,5.782421736626923021
