https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1683331200000,2023-05-06,LTCUSDT,88.62,89.36,80.56,83.26,808799.894,68317613.37673,156273
1683244800000,2023-05-05,LTCUSDT,88.39,89.69,86.16,88.61,462767.029,40810211.80393,98382
1683158400000,2023-05-04,LTCUSDT,88.88,89.15,87.39,88.38,317092.93,27965302.53823,79121
1683072000000,2023-05-03,LTCUSDT,88.2,89.86,85.4,88.88,561552.261,49020724.2314,137984
1682985600000,2023-05-02,LTCUSDT,86.76,89.18,86.0,88.2,425254.867,37377898.53279,108466
1682899200000,2023-05-01,LTCUSDT,88.24,88.86,85.13,86.75,537906.62,46754880.2517,109613
1682812800000,2023-04-30,LTCUSDT,91.08,91.43,87.76,88.22,396494.58,35647081.50118,110052
1682726400000,2023-04-29,LTCUSDT,89.62,91.64,89.23,91.08,351205.815,31719262.50321,93072
1682640000000,2023-04-28,LTCUSDT,89.73,90.36,87.66,89.63,464509.676,41454599.35748,115776
1682553600000,2023-04-27,LTCUSDT,88.14,90.64,87.26,89.73,669510.161,59639460.06927,149332
1682467200000,2023-04-26,LTCUSDT,91.03,93.96,84.21,88.13,985517.498,88783082.53106,229638
1682380800000,2023-04-25,LTCUSDT,88.32,91.77,87.18,91.03,767570.935,68671079.44959,159522
