https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1626393600000,2021-07-16 00:00:00,BNB/USDT,315.96149002,323,301.93859684,303.96551443,236006.25011777,757.00664006,0,0,0,311.76245706
1626307200000,2021-07-15 00:00:00,BNB/USDT,308.76545745,323.721281,301.94196051,315.95875019,379096.20718764,1206.51390311,0,0,0,314.2079061
1626220800000,2021-07-14 00:00:00,BNB/USDT,307.92900893,313,290.69162789,308.28950183,264114.22510225,870.95075411,0,0,0,303.24817316
1626134400000,2021-07-13 00:00:00,BNB/USDT,315.85265596,317.52935101,306.07739783,307.97255901,46807.61256852,149.19665333,0,0,0,313.73098205
1626048000000,2021-07-12 00:00:00,BNB/USDT,321.57066056,333.75269987,309.15460188,315.88523277,210806.61023968,651.41959441,0,0,0,323.61109805
1625961600000,2021-07-11 00:00:00,BNB/USDT,316.37150223,326.50595341,312.78079249,321.87084115,161046.78450713,499.96469387,0,0,0,322.11631437
1625875200000,2021-07-10 00:00:00,BNB/USDT,318.85724526,321,311.4,315.87107697,30636.75715921,97.12950366,0,0,0,315.42174112
1625788800000,2021-07-09 00:00:00,BNB/USDT,307.26280211,319.2,302.03099751,317.83704052,697131.21866721,2263.23530126,0,0,0,308.02418921
1625702400000,2021-07-08 00:00:00,BNB/USDT,326.28075396,326.28075396,304.96486209,310.62644377,173972.08748377,551.22476097,0,0,0,315.61007378
1625616000000,2021-07-07 00:00:00,BNB/USDT,320.01908646,339.33349319,319,327.12812402,174093.79501783,525.94358639,0,0,0,331.01229775
1625529600000,2021-07-06 00:00:00,BNB/USDT,303.29411594,321.68168764,302.68410779,320.32888106,523597.15321682,1652.08600246,0,0,0,316.93093001
1625443200000,2021-07-05 00:00:00,BNB/USDT,307.75586927,307.75586927,292.7,302.68410779,191750.2957594,638.3277362,0,0,0,300.3947422
1625356800000,2021-07-04 00:00:00,BNB/USDT,296.6240456,314.44140231,292.86205873,309.66197847,221522.01790171,717.60390623,0,0,0,308.6967838
1625270400000,2021-07-03 00:00:00,BNB/USDT,287.75252258,302.67264286,283.46560997,298.06653342,195779.48033533,656.90827405,0,0,0,298.0316858
1625184000000,2021-07-02 00:00:00,BNB/USDT,287.46536018,290.77767985,276.92399038,286.58266459,179304.54746973,640.98109634,0,0,0,279.73453272
