https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1622592000,2021-06-02,DOT/USD,22.856,26.7,22.72,26.064,43691.317686,1138770.5041679041
1622505600,2021-06-01,DOT/USD,23.209,23.326,21.844,22.856,43070.602218,984421.6842946081
1622419200,2021-05-31,DOT/USD,20.489,23.214,19.251,23.214,46546.298682,1080525.777603948
1622332800,2021-05-30,DOT/USD,19.914,21.205,18.959,20.48,50515.455499,1034556.5286195201
1622246400,2021-05-29,DOT/USD,21.429,22.231,19.024,19.905,78813.450214,1568781.72650967
1622160000,2021-05-28,DOT/USD,23.666,26.065,20.202,21.455,115878.85382,2486180.8087081
1622073600,2021-05-27,DOT/USD,24.473,24.876,21.978,24.157,64085.375901,1548110.425640457
1621987200,2021-05-26,DOT/USD,22.09,24.507,21.839,24.468,52972.517905,1296131.56809954
1621900800,2021-05-25,DOT/USD,23.066,23.984,19.906,22.085,100637.532507,2222579.905417095
1621814400,2021-05-24,DOT/USD,17.945,23.452,17.241,23.066,134691.708662,3106798.9519976918
1621728000,2021-05-23,DOT/USD,22.125,23.373,15.557,17.956,143200.689382,2571311.5785431922
1621641600,2021-05-22,DOT/USD,24.396,24.504,21.441,22.127,87361.276749,1933042.9706251228
1621555200,2021-05-21,DOT/USD,29.102,30.918,21.729,24.4,81827.441084,1996589.5624496
1621468800,2021-05-20,DOT/USD,25.801,31.065,25.595,29.089,93834.161283,2729541.9175611865
1621382400,2021-05-19,DOT/USD,40.753,41.3,25.69,25.69,119146.282191,3060867.9894867903
1621296000,2021-05-18,DOT/USD,38.677,42.491,38.135,40.748,40762.263561,1660980.7155836278
1621209600,2021-05-17,DOT/USD,42.313,42.313,35.702,38.677,58102.62591,2247235.2623210703
1621123200,2021-05-16,DOT/USD,43.569,46.413,39.707,42.295,35660.886995,1508277.215453525
1621036800,2021-05-15,DOT/USD,47.5,48.4,43.144,43.564,38981.353201,1698183.670848364
1620950400,2021-05-14,DOT/USD,39.754,47.5,39.633,47.5,47385.343136,2250803.7989600003
1620864000,2021-05-13,DOT/USD,35.321,41.768,33.318,39.766,84476.528064,3359293.6149930237
1620777600,2021-05-12,DOT/USD,38.537,42.126,35.21,35.351,60365.855923,2133993.372733973
1620691200,2021-05-11,DOT/USD,36.754,38.512,35.993,38.512,22753.899064,876298.160752768
1620604800,2021-05-10,DOT/USD,40.252,41.741,32.609,36.744,40253.916394,1479089.903981136
1620518400,2021-05-09,DOT/USD,39.784,40.426,38.5,40.251,17371.302447,699212.2947941968
1620432000,2021-05-08,DOT/USD,39.783,40.421,38.872,39.786,14356.208092,571176.095148312
1620345600,2021-05-07,DOT/USD,41.64,42.267,38.83,39.784,28953.569734,1151888.818297456
1620259200,2021-05-06,DOT/USD,40.38,43.334,38.312,41.64,36617.17918,1524739.3410552
1620172800,2021-05-05,DOT/USD,35.031,40.388,34.957,40.379,28843.446755,1164669.536520145
1620086400,2021-05-04,DOT/USD,37.319,37.844,34.761,35.038,30742.392844,1077151.960468072
1620000000,2021-05-03,DOT/USD,36.521,38.2,36.521,37.327,17495.829928,653066.8437224559
1619913600,2021-05-02,DOT/USD,36.889,36.92,35.772,36.517,10526.486926,384395.723076742
1619827200,2021-05-01,DOT/USD,36.39,37.186,36.065,36.893,11222.734308,414040.33682504395
1619740800,2021-04-30,DOT/USD,35.662,36.686,35.235,36.366,16026.102458,582805.2419876279
1619654400,2021-04-29,DOT/USD,34.023,35.655,33.185,35.655,19296.016146,687999.4556856301
1619568000,2021-04-28,DOT/USD,34.829,35.25,32.821,34.021,22558.691876,767469.256313396
1619481600,2021-04-27,DOT/USD,33.421,34.832,33.421,34.805,23932.741503,832979.0680119151
1619395200,2021-04-26,DOT/USD,29.775,33.42,29.775,33.42,30656.540842,1024541.59493964
1619308800,2021-04-25,DOT/USD,29.272,31.089,28.5,29.773,16031.578266,477308.179713618
1619222400,2021-04-24,DOT/USD,32.314,32.354,28.748,29.272,26317.148149,770355.5606175279
1619136000,2021-04-23,DOT/USD,32.992,33.34,28.854,32.32,55297.175686,1787204.7181715202
1619049600,2021-04-22,DOT/USD,34.115,36.631,33.0,33.0,32041.127654,1057357.212582
1618963200,2021-04-21,DOT/USD,35.5,36.123,33.59,34.129,18313.917808,625035.700869232
1618876800,2021-04-20,DOT/USD,35.129,35.596,32.064,35.499,23069.799917,818954.8272535831
1618790400,2021-04-19,DOT/USD,37.786,38.94,34.5,35.129,15044.850984,528510.570216936
1618704000,2021-04-18,DOT/USD,42.0,42.999,34.5,37.778,22430.610744,847383.612686832
1618617600,2021-04-17,DOT/USD,41.501,47.847,41.501,42.173,6633.7438,279764.8772774
1618531200,2021-04-16,DOT/USD,43.341,43.74,40.373,41.5,12386.574112,514042.825648
1618444800,2021-04-15,DOT/USD,42.475,44.137,41.398,43.7,3659.713793,159929.4927541
1618358400,2021-04-14,DOT/USD,42.991,44.492,40.131,42.607,8409.896005,358320.439085035
1618272000,2021-04-13,DOT/USD,40.591,43.11,39.832,43.11,5967.564722,257261.71516542
1618185600,2021-04-12,DOT/USD,41.398,41.812,39.576,40.537,4860.675413,197037.19921678098
1618099200,2021-04-11,DOT/USD,41.699,41.812,40.072,41.4,6863.186784,284135.9328576
1618012800,2021-04-10,DOT/USD,40.594,42.687,40.1,41.524,4590.643646,190621.886756504
1617926400,2021-04-09,DOT/USD,41.598,42.074,39.799,40.696,2410.726141,98106.91103413599
1617840000,2021-04-08,DOT/USD,39.673,41.535,39.322,41.438,2647.164257,109693.192481566
1617753600,2021-04-07,DOT/USD,43.582,43.582,38.095,39.599,7183.996023,284479.058514777
1617667200,2021-04-06,DOT/USD,45.9,46.199,40.2,43.107,5923.542808,255346.159824456
1617580800,2021-04-05,DOT/USD,44.188,46.127,41.698,46.127,4926.743027,227255.87560642904
