https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1656633600000,2022-07-01 00:00:00,ETH/USDT,1068.4868,1114.3093,1034.473,1059.373,2674478.6906058146,2524.58642103
1656547200000,2022-06-30 00:00:00,ETH/USDT,1098.9978,1106.5065,995.4991,1069.2348,2806432.1266649915,2624.71079941
1656460800000,2022-06-29 00:00:00,ETH/USDT,1143.4671,1155.914,1087.682,1099.6387,1823672.9340935405,1658.42920415
1656374400000,2022-06-28 00:00:00,ETH/USDT,1192.7882,1198.9442,1176.5458,1188.8699,235659.4021638309,198.22135472
1656288000000,2022-06-27 00:00:00,ETH/USDT,1197.9932,1237.9293,1172.6436,1192.1978,1835719.8742256088,1539.7779414
1656201600000,2022-06-26 00:00:00,ETH/USDT,1242.262,1279.6465,1196.3312,1198.0672,1792186.389267317,1495.89805085
1656115200000,2022-06-25 00:00:00,ETH/USDT,1224.6045,1254.2243,1181.0,1243.0826,1592363.9238998857,1280.97997985
1656028800000,2022-06-24 00:00:00,ETH/USDT,1144.9151,1248.1375,1131.6732,1224.4451,2354726.7349754083,1923.09702981
1655942400000,2022-06-23 00:00:00,ETH/USDT,1051.5093,1153.2751,1045.7319,1144.1721,2113696.5762433033,1847.35895609
1655856000000,2022-06-22 00:00:00,ETH/USDT,1126.259,1126.8997,1044.5,1049.4855,1990745.5501286064,1896.87761301
1655769600000,2022-06-21 00:00:00,ETH/USDT,1128.484,1192.6,1110.5503,1125.9207,2119191.9663916295,1882.18581148
1655683200000,2022-06-20 00:00:00,ETH/USDT,1128.2501,1169.5,1054.7716,1128.8729,2660532.1063361815,2356.80394696
1655596800000,2022-06-19 00:00:00,ETH/USDT,996.197,1157.1,935.6429,1128.361,3794079.4344794983,3362.46948847
1655510400000,2022-06-18 00:00:00,ETH/USDT,1085.8101,1096.1341,883.1675,995.7096,3645213.128770797,3660.91993968
1655424000000,2022-06-17 00:00:00,ETH/USDT,1068.2482,1117.3479,1051.1673,1086.6,2322028.4192942698,2136.96707095
1655337600000,2022-06-16 00:00:00,ETH/USDT,1238.7,1256.0483,1053.1798,1067.8586,2769637.6450322233,2593.6370649
1655251200000,2022-06-15 00:00:00,ETH/USDT,1208.7999,1248.0408,1015.4922,1238.8366,6092513.297316192,4917.93130532
1655164800000,2022-06-14 00:00:00,ETH/USDT,1208.5018,1265.2408,1079.4608,1209.84,3654045.6039998354,3020.27177478
1655078400000,2022-06-13 00:00:00,ETH/USDT,1434.7272,1453.4407,1166.1003,1210.382,4559862.077050814,3767.29171208
1654992000000,2022-06-12 00:00:00,ETH/USDT,1533.2084,1545.6262,1426.0,1436.2932,2887710.152537072,2010.52971116
1654905600000,2022-06-11 00:00:00,ETH/USDT,1661.5534,1680.9041,1499.9602,1530.8723,3097486.2675526435,2023.34725604
1654819200000,2022-06-10 00:00:00,ETH/USDT,1787.7993,1802.6069,1657.7423,1663.1645,2273341.5712500946,1366.87716173
1654732800000,2022-06-09 00:00:00,ETH/USDT,1794.1223,1832.9154,1778.5208,1788.5334,1815311.3382510273,1014.97200905
1654646400000,2022-06-08 00:00:00,ETH/USDT,1814.4777,1840.0,1766.1943,1792.3515,2314087.9239968006,1291.09046077
1654560000000,2022-06-07 00:00:00,ETH/USDT,1859.7947,1871.7014,1727.672,1814.4132,3231591.693285317,1781.06712037
1654473600000,2022-06-06 00:00:00,ETH/USDT,1807.1924,1918.3465,1805.102,1860.1269,2032571.5165962018,1092.70583453
