https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ADA
1652572800000,2022-05-15 00:00:00,ADA/USDT,0.53406823,0.59396133,0.52064818,0.59396133,7292.830153401059,12278.2911699
1652486400000,2022-05-14 00:00:00,ADA/USDT,0.53929,0.55469637,0.499,0.53333471,7501.264948739503,14064.83547403
1652400000000,2022-05-13 00:00:00,ADA/USDT,0.4788514,0.60507814,0.4788514,0.542,8156.055977974201,15048.0737601
1652313600000,2022-05-12 00:00:00,ADA/USDT,0.51752984,0.54760927,0.40103434,0.47667377,26486.47199274145,55565.19712159
1652227200000,2022-05-11 00:00:00,ADA/USDT,0.63643584,0.6578144,0.481212,0.51411159,18034.261088441795,35078.49548469
1652140800000,2022-05-10 00:00:00,ADA/USDT,0.592,0.7082434,0.57228304,0.61939184,17775.62461267948,28698.51274224
1652054400000,2022-05-09 00:00:00,ADA/USDT,0.74902669,0.74902669,0.6,0.6,14710.383921186,24517.30653531
1651968000000,2022-05-08 00:00:00,ADA/USDT,0.76295127,0.76295127,0.73333,0.74103659,7109.7526925673355,9594.33419147
1651881600000,2022-05-07 00:00:00,ADA/USDT,0.77823578,0.78448005,0.75,0.76946272,4960.345210128858,6446.50491986
1651795200000,2022-05-06 00:00:00,ADA/USDT,0.79453043,0.8016335,0.7733881,0.78770698,11219.910360519218,14243.761507
