https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1661558400,2022-08-27,DOGE/USD,0.06601,0.0692,0.06251,0.06584,42291.655403,2784.4825917335197
1661472000,2022-08-26,DOGE/USD,0.06863,0.075,0.06369,0.06601,200734.456777,13250.48149184977
1661385600,2022-08-25,DOGE/USD,0.06871,0.07166,0.06801,0.07131,52113.978416,3716.24780084496
1661299200,2022-08-24,DOGE/USD,0.068,0.07047,0.0675,0.06805,27187.931228,1850.1387200654
1661212800,2022-08-23,DOGE/USD,0.0685,0.07062,0.06819,0.07038,66359.045751,4670.34963995538
1661126400,2022-08-22,DOGE/USD,0.06838,0.07823,0.0661,0.0685,67352.796633,4613.666569360501
1661040000,2022-08-21,DOGE/USD,0.06992,0.071,0.0673,0.0702,65675.13536,4610.394502272
1660953600,2022-08-20,DOGE/USD,0.068,0.07169,0.06642,0.07068,67986.141903,4805.2605097040405
1660867200,2022-08-19,DOGE/USD,0.07434,0.07919,0.06579,0.068,153571.436917,10442.857710356002
1660780800,2022-08-18,DOGE/USD,0.08057,0.08589,0.074,0.0753,142503.35199,10730.502404847
1660694400,2022-08-17,DOGE/USD,0.08909,0.09,0.079,0.08065,134471.576988,10845.132684082198
1660608000,2022-08-16,DOGE/USD,0.07808,0.09,0.077,0.08752,328451.558649,28746.08041296048
1660521600,2022-08-15,DOGE/USD,0.08183,0.08404,0.075,0.07764,129888.180818,10084.51835870952
1660435200,2022-08-14,DOGE/USD,0.07335,0.09145,0.07335,0.08176,209842.521158,17156.72452987808
1660348800,2022-08-13,DOGE/USD,0.07213,0.07698,0.07213,0.07495,69304.091167,5194.341632966651
1660262400,2022-08-12,DOGE/USD,0.0713,0.07215,0.068,0.07195,56216.572966,4044.7824249037
1660176000,2022-08-11,DOGE/USD,0.0712,0.09558,0.068,0.07093,322086.027241,22845.56191220413
1660089600,2022-08-10,DOGE/USD,0.06842,0.07199,0.06696,0.0712,98053.180076,6981.3864214112
1660003200,2022-08-09,DOGE/USD,0.07057,0.07478,0.067,0.06927,139168.339201,9640.19085645327
1659916800,2022-08-08,DOGE/USD,0.06943,0.072,0.0651,0.07012,62799.947617,4403.53232690404
1659830400,2022-08-07,DOGE/USD,0.06903,0.07,0.0676,0.07,31220.190611,2185.4133427700003
1659744000,2022-08-06,DOGE/USD,0.0695,0.071,0.06676,0.06964,58943.015754,4104.79161710856
1659657600,2022-08-05,DOGE/USD,0.06922,0.071,0.06601,0.07072,51027.006767,3608.62991856224
1659571200,2022-08-04,DOGE/USD,0.06733,0.0718,0.0639,0.06721,51676.80669,3473.1981776349003
1659484800,2022-08-03,DOGE/USD,0.06655,0.06869,0.06378,0.06623,26309.200355,1742.45833951165
1659398400,2022-08-02,DOGE/USD,0.0681,0.06861,0.06565,0.0684,78865.249258,5394.3830492472
1659312000,2022-08-01,DOGE/USD,0.06865,0.0712,0.0671,0.0705,72344.280034,5100.271742396999
1659225600,2022-07-31,DOGE/USD,0.07199,0.072,0.068,0.06884,76655.058777,5276.93424620868
1659139200,2022-07-30,DOGE/USD,0.0696,0.07401,0.0671,0.0696,136475.342974,9498.683870990399
1659052800,2022-07-29,DOGE/USD,0.0688,0.07255,0.0674,0.06925,231659.708034,16042.434781354503
1658966400,2022-07-28,DOGE/USD,0.06746,0.12,0.06583,0.06946,315003.578296,21880.14854844016
1658880000,2022-07-27,DOGE/USD,0.06317,0.06721,0.06206,0.06721,96820.432375,6507.301259923751
1658793600,2022-07-26,DOGE/USD,0.0622,0.06266,0.06049,0.06262,62376.137053,3905.9937022588597
1658707200,2022-07-25,DOGE/USD,0.06687,0.06687,0.06342,0.06342,102056.570187,6472.427681259541
1658620800,2022-07-24,DOGE/USD,0.06769,0.06885,0.06767,0.06767,54928.714052,3717.0260798988397
1658534400,2022-07-23,DOGE/USD,0.06845,0.0694,0.0664,0.06792,51533.487439,3500.1544668568795
1658448000,2022-07-22,DOGE/USD,0.07078,0.07168,0.06694,0.06752,164263.221218,11091.052696639359
1658361600,2022-07-21,DOGE/USD,0.06976,0.07037,0.06748,0.07,135866.486937,9510.654085590002
1658275200,2022-07-20,DOGE/USD,0.06848,0.07638,0.06768,0.07,273826.054304,19167.823801280003
1658188800,2022-07-19,DOGE/USD,0.0688,0.07,0.06553,0.06939,93302.299571,6474.246567231689
1658102400,2022-07-18,DOGE/USD,0.06344,0.06872,0.06344,0.06756,187569.647288,12672.20537077728
1658016000,2022-07-17,DOGE/USD,0.0648,0.0648,0.0634,0.06346,40638.022418,2578.8889026462803
1657929600,2022-07-16,DOGE/USD,0.06227,0.06488,0.06187,0.06395,66962.014215,4282.22080904925
1657843200,2022-07-15,DOGE/USD,0.06213,0.06405,0.06201,0.06313,59720.881088,3770.1792230854403
1657756800,2022-07-14,DOGE/USD,0.06145,0.06259,0.0596,0.062,101263.601847,6278.343314514
1657670400,2022-07-13,DOGE/USD,0.06001,0.06215,0.058,0.06209,94277.810195,5853.70923500755
1657584000,2022-07-12,DOGE/USD,0.0623,0.06257,0.0598,0.0598,116833.37625,6986.63589975
1657497600,2022-07-11,DOGE/USD,0.06655,0.06696,0.06158,0.06158,137562.55179,8471.1019392282
1657411200,2022-07-10,DOGE/USD,0.06913,0.06913,0.06622,0.06711,65253.318987,4379.15023721757
1657324800,2022-07-09,DOGE/USD,0.06914,0.075,0.06914,0.0699,48436.923604,3385.7409599196003
1657238400,2022-07-08,DOGE/USD,0.071,0.0731,0.06865,0.06883,175101.951142,12052.267297103861
1657152000,2022-07-07,DOGE/USD,0.06888,0.07123,0.06803,0.07046,62459.131854,4400.870430432839
1657065600,2022-07-06,DOGE/USD,0.06665,0.06961,0.06665,0.06961,49862.579508,3470.9341595518804
1656979200,2022-07-05,DOGE/USD,0.06936,0.06967,0.06584,0.06743,93551.864559,6308.20222721337
