https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOGE
1653696000000,2022-05-28 00:00:00,DOGE/USD,0.08812087,0.08976004,0.08640006,0.08730065,24241.677778396905,277680.38128464
1653609600000,2022-05-27 00:00:00,DOGE/USD,0.08579175,0.09679,0.08371237,0.08792276,35268.62335604801,401131.89526862
1653523200000,2022-05-26 00:00:00,DOGE/USD,0.09092985,0.09201699,0.08251328,0.08540037,32073.74490558893,375569.15626465
1653436800000,2022-05-25 00:00:00,DOGE/USD,0.09172705,0.09269391,0.09023001,0.09089172,24574.78274758093,270374.27333954
1653350400000,2022-05-24 00:00:00,DOGE/USD,0.09179199,0.09313887,0.08831278,0.09183766,24823.120009037735,270293.47229707
1653264000000,2022-05-23 00:00:00,DOGE/USD,0.09434603,0.0972616,0.09118431,0.09165136,31051.901588735185,338804.59153836
1653177600000,2022-05-22 00:00:00,DOGE/USD,0.09317698,0.09499999,0.09270001,0.09453501,28656.0950446577,303126.79973967
1653091200000,2022-05-21 00:00:00,DOGE/USD,0.09252714,0.09398225,0.09104743,0.09313003,24383.99185867977,261827.38112164
1653004800000,2022-05-20 00:00:00,DOGE/USD,0.09543807,0.09658251,0.091183,0.09258821,34153.37865116733,368873.94897436
1652918400000,2022-05-19 00:00:00,DOGE/USD,0.09335441,0.09654057,0.09109719,0.09538836,34020.61163982163,356653.70114154
1652832000000,2022-05-18 00:00:00,DOGE/USD,0.09950585,0.09999999,0.09300101,0.09324032,35180.37778273083,377308.63410519
1652745600000,2022-05-17 00:00:00,DOGE/USD,0.09721535,0.10087695,0.09600001,0.09945782,49391.85141292688,496611.03986521
1652659200000,2022-05-16 00:00:00,DOGE/USD,0.10243617,0.10243617,0.09544431,0.09700779,33450.30077716947,344820.76931316
1652572800000,2022-05-15 00:00:00,DOGE/USD,0.09859001,0.10247084,0.09563414,0.10244351,36107.18888378727,352459.50557324
1652486400000,2022-05-14 00:00:00,DOGE/USD,0.09719634,0.10131442,0.09235632,0.09874282,33868.45103236499,342996.59491561
1652400000000,2022-05-13 00:00:00,DOGE/USD,0.09177209,0.106,0.09115345,0.09711814,44778.60924881369,461073.58778508
1652313600000,2022-05-12 00:00:00,DOGE/USD,0.09627465,0.10145646,0.07865151,0.09167127,105132.38142574372,1146841.11418707
1652227200000,2022-05-11 00:00:00,DOGE/USD,0.11970673,0.12270423,0.08886909,0.09590889,168734.66316309158,1759322.44824324
1652140800000,2022-05-10 00:00:00,DOGE/USD,0.114,0.13035265,0.112,0.11982964,70614.58604416158,589291.48117412
1652054400000,2022-05-09 00:00:00,DOGE/USD,0.13785552,0.13861199,0.113,0.11357115,93355.12331912218,821996.81273917
1651968000000,2022-05-08 00:00:00,DOGE/USD,0.13968356,0.14008911,0.13646829,0.13762972,45252.38315769766,328798.04709112
1651881600000,2022-05-07 00:00:00,DOGE/USD,0.13880609,0.14410872,0.1374,0.13958086,55203.96665350048,395498.11237372
1651795200000,2022-05-06 00:00:00,DOGE/USD,0.13959408,0.14069934,0.13524272,0.13888649,44532.256444395396,320637.78445546
